titles,overview,discription,gears,gears_discription
Python Tutorials - 100 Days of Code,"Python is one of the most demanded programming languages in the job market. Surprisingly, it is equally easy to learn and master Python. Let's commit our 100 days of code to python!","FREE COURSEPython Tutorials - 100 Days of CodePython is one of the most demanded programming languages in the job market. Surprisingly, it is equally easy to learn and master Python. Let's commit our 100 days of code to python!  Start Watching ",Canon EOS 80D,This is what I use to create my content. I am not sponsored by any of these companies.
Ultimate JavaScript Course,"This latest JavaScript course comes with premium curriculum that covers everything from basics to advance. On top of that, you will get my handwritten notes of JS for completely free. What are you waiting for? Just Enroll Buddy","FREE COURSEUltimate JavaScript CourseThis latest JavaScript course comes with premium curriculum that covers everything from basics to advance. On top of that, you will get my handwritten notes of JS for completely free. What are you waiting for? Just Enroll Buddy  Start Watching ",iPhone 13 Pro Max 256GB," I bought it back in 2018 for my US trip and have been using it since then. If you want to buy this in 2022, go for the EOS 90D (Same camera - Updated version). This is an amazing camera given that its still working exactly like it was working when I bought it. I use it for my YouTube tutorial videos as well. I use a USB cable, EOS utility software to make videos."
Tailwind Course In Hindi,Complete Tailwind CSS Course by CodeWithHarry in Hindi - Learn Tailwind CSS from scratch for free! ,FREE COURSETailwind Course In HindiComplete Tailwind CSS Course by CodeWithHarry in Hindi - Learn Tailwind CSS from scratch for free!   Start Watching ,Lenovo 300 FHD Webcam," I have always dreamt of buying an iPhone for myself. Back in 2021, I finally bought my first ever iPhone and its been a great phone so far. I use it for my YouTube videos and also for my Instagram stories. I also use it to take photos for my YouTube thumbnails."
Sanity.io Tutorials in Hindi,"Sanity.io is the platform for structured content. This course will not only cover Sanity from starting to the end, but it has projects for hands-on experience.","FREE COURSESanity.io Tutorials in HindiSanity.io is the platform for structured content. This course will not only cover Sanity from starting to the end, but it has projects for hands-on experience.  Start Watching ",Blue Yeti," Sometimes I also use this Webcam to record videos. This has a great camera, and the microphone on this device is also good. This is a good webcam at its price."
Strapi Tutorial For Beginners,"This course contains everything that you should know about Strapi. It is an open-source, Headless CMS that saves lot of time for developers by giving them freedom to use their favorite tools and frameworks.","FREE COURSEStrapi Tutorial For BeginnersThis course contains everything that you should know about Strapi. It is an open-source, Headless CMS that saves lot of time for developers by giving them freedom to use their favorite tools and frameworks.  Start Watching ",Blue Snowball ICE," This is my main microphone, and I got this back in 2021. Before this, I used Snowball ICE to record the videos, but I wanted to upgrade, so I bought this microphone. I have used it for all of my videos since then. This microphone has a crisp audio quality and good noise suppression."
React Js Tutorials For Beginners,React is a free and open-source front-end JavaScript library. This series will cover React from starting to the end. We will learn react from the ground up!,FREE COURSEReact Js Tutorials For BeginnersReact is a free and open-source front-end JavaScript library. This series will cover React from starting to the end. We will learn react from the ground up!  Start Watching ,Boya BY-M1, This is my secondary microphone and I got this back in 2016 when I started YouTube. I used it for all of my videos back then. This has a crisp audio quality and good noise suppression. I still use this Microphone.
Next.js Tutorials For Beginners,Complete Next.js Course by CodeWithHarry in Hindi - Learn Next.js from Scratch.,FREE COURSENext.js Tutorials For BeginnersComplete Next.js Course by CodeWithHarry in Hindi - Learn Next.js from Scratch.  Start Watching ,Rode SmartLav+, This is another mic I use for my videos. I got this when I was a little tight on my budget. This microphone is what I can say is value for money. This has good audio quality and its easy to setup. But soon I stopped using it and upgraded due to its limited battery backup.
General Python Errors,"Being a coder, I can understand the pain and excitement while finding a bug or error in a code. This course contains some of the most famous or common errors in the Python language.","FREE COURSEGeneral Python ErrorsBeing a coder, I can understand the pain and excitement while finding a bug or error in a code. This course contains some of the most famous or common errors in the Python language.  Start Watching ",Apple iPad Pro with Apple M1 chip 2021," It is a good lavalier condenser microphone, but it is a bit costly. I bought it as an upgrade to my Boya BY-M1. It is easy to setup, and sometimes I use it with my iPhone to record audio."
C Language Practice Programs,This series contains programs for you to practice C Programming and related concepts. It has videos that will provide you with a proper explanation of the program and its logic.,FREE COURSEC Language Practice ProgramsThis series contains programs for you to practice C Programming and related concepts. It has videos that will provide you with a proper explanation of the program and its logic.  Start Watching ,2021 Apple MacBook Pro (14-inch), I got this back on 2021. I bought it for taking notes and making videos. It is a good product altogether but I haven't used it much.
Python Game Development Tuts,"If you're interested in game development, this course is for you. It will lead you through all the basic game development concepts and will give you an initial boost.","FREE COURSEPython Game Development TutsIf you're interested in game development, this course is for you. It will lead you through all the basic game development concepts and will give you an initial boost.  Start Watching ",ASUS ROG Strix G17 (2021)," I purchased this in 2022 and this has been my primary laptop since then. Being a content creator this is one of my best decisions and, long story short, this laptop has never disappointed me."
OOPS Using Python Programming,"If you don't know about Object Oriented Programming (OOP) Paradigm, then this course is for you. In this you'll learn about objects, classes and much more in Python language.","FREE COURSEOOPS Using Python ProgrammingIf you don't know about Object Oriented Programming (OOP) Paradigm, then this course is for you. In this you'll learn about objects, classes and much more in Python language.  Start Watching ",Intel Core i9-10900K," I purchased this in 2021 and this has been my primary laptop since then. I upgraded its RAM to 64GB (being a content creator) and, long story short, this laptop has never disappointed me."
Basic Python Programs With Code,"This series contains basic Python programs. It's a concise and precise course, so if you have a couple of minutes or an hour, just get started. This course will surely add some value.","FREE COURSEBasic Python Programs With CodeThis series contains basic Python programs. It's a concise and precise course, so if you have a couple of minutes or an hour, just get started. This course will surely add some value.  Start Watching ",Nvidia GeForce RTX 3070 8GB, This is my main CPU. This beast is packed with 10 cores and 20 threads. It is a great CPU for those who want to do 4K encoding and video editing. I bought it in 2021 and it is still going strong.
Web Dev Using Flask and Python,This course will teach you everything you need to know about web development using Flask. It will lead you through each and every concept of Flask and will give you a good initial start.,FREE COURSEWeb Dev Using Flask and PythonThis course will teach you everything you need to know about web development using Flask. It will lead you through each and every concept of Flask and will give you a good initial start.  Start Watching ,XPG Adata GAMMIX D30 64GB (4x16GB)," This is my GPU. This beast is packed with 8GB of VRAM. I literally had to wait for 2 months to get this GPU back in 2021, when the GPU crisis was at its peak. I have no complaints regarding this GPU. It delivers what it promises."
Coding Discussion With Harry,"Interested in general technology (coding) topics? If yes, then you must checkout this series, here you'll get tonnes of videos regarding most asked questions and other general questions.","FREE COURSECoding Discussion With HarryInterested in general technology (coding) topics? If yes, then you must checkout this series, here you'll get tonnes of videos regarding most asked questions and other general questions.  Start Watching ",MSI MPG Z490 Gaming Plus Motherboard," This is my RAM. At first I had only 32GB of RAM, but then I upgraded it to 64GB. This RAM runs at 3600MHz, and it is a great RAM in terms of performance."
Learn In One Video,"Don't have much time to watch the whole course's playlist? Don't worry, we've got you covered. This series contains one-shot videos of popular technologies, search for your required stack, and you're ready to get into it.","FREE COURSELearn In One VideoDon't have much time to watch the whole course's playlist? Don't worry, we've got you covered. This series contains one-shot videos of popular technologies, search for your required stack, and you're ready to get into it.  Start Watching ",Antec HCG850 Power Supply," This is my motherboard. I bought it for my Beast PC build and it is still going strong. This motherboard has lots of USB ports and, on top of that, it has 2 M.2 NVME slots, which is great for those who want to install 2 SSDs."
C++ Tutorials For Beginners,"This course contains all the concepts and exercises of the C++ language. If you're a mere beginner, you can start your coding journey with this course and ace your exams.","FREE COURSEC++ Tutorials For BeginnersThis course contains all the concepts and exercises of the C++ language. If you're a mere beginner, you can start your coding journey with this course and ace your exams.  Start Watching ",Western Digital WD SN550 1TB NVMe SSD, This is my main power supply. This is packed with 850W of power and it is 80 Plus Gold certified. This is a fully modular PSU with a 135mm fan. This power supply is great for those who want to build a high-end PC.
Python Django Tutorials For Beginners,"Django is a Python-based free and open-source web framework. If you already know Python and want to try web development, you can go with Django.","FREE COURSEPython Django Tutorials For BeginnersDjango is a Python-based free and open-source web framework. If you already know Python and want to try web development, you can go with Django.  Start Watching ",Montech X1 White Case," This is my main Storage. This is one of the best SSDs out there. It's value for money, and also this SSD is blazing fast in terms of performance. I'm a gaming person and a programmer and I can say for sure that this SSD never disappoints."
Web Dev Tutorials For Beginners,"This is one of my favorite courses. In this series, you'll learn about HTML, CSS, JavaScript, and everything needed to be a job-ready web developer. Just hop on, man.","FREE COURSEWeb Dev Tutorials For BeginnersThis is one of my favorite courses. In this series, you'll learn about HTML, CSS, JavaScript, and everything needed to be a job-ready web developer. Just hop on, man.  Start Watching ",Cooler Master MasterLiquid ML360L ARGB V2," In terms of the case, this is a great looking case. I purchased it for its good looks and good airflow too. This case is packed with 4 x 120mm fans. So far, it is a great case, and I dont have any complaints."
Python Tutorials For Absolute Beginners,"This is one of the most-watched courses on this channel. If you want to create projects as early as possible, then this course is for you. You'll get dozen of projects in this course.","FREE COURSEPython Tutorials For Absolute BeginnersThis is one of the most-watched courses on this channel. If you want to create projects as early as possible, then this course is for you. You'll get dozen of projects in this course.  Start Watching ",TVS Gold Keyboard," This is my CPU cooler. This comes with 360mm radiator. In terms of cooling, this is a beast. It keeps my CPU cool even when I'm playing games. This is a great CPU cooler and I would recommend it to anyone who want to build a high end PC."
Android Development Tutorials,"Android Development is one of the booming career options nowadays, and many people are learning Android because it feels so good to create own app. You can also grab this opportunity by enrolling in this course.","FREE COURSEAndroid Development TutorialsAndroid Development is one of the booming career options nowadays, and many people are learning Android because it feels so good to create own app. You can also grab this opportunity by enrolling in this course.  Start Watching ",Zebronics Zeb-Transformer-M," This keyboard is a bit old. Honestly, I use it more because of emotions than anything else. You can buy any other mechanical keyboard, but I use it because I have been using the same one for a very long time."
